aper2,# wins,dates,% wins
1,69,", 2014_11_20, 2014_12_11, 2014_2_27, 2014_3_13, 2014_4_17, 2014_4_23, 2014_6_19, 2014_6_5, 2014_7_24, 2014_8_21, 2014_8_28, 2015_10_15, 2015_10_21, 2015_11_26, 2015_1_29, 2015_2_19, 2015_3_26, 2015_7_23, 2015_8_20, 2016_11_10, 2016_11_3, 2016_12_1, 2016_3_9, 2016_4_20, 2016_6_2, 2016_7_7, 2017_1_12, 2017_2_2, 2017_3_9, 2017_4_19, 2017_5_11, 2017_5_18, 2018_10_11, 2018_11_1, 2018_11_21, 2018_11_28, 2018_11_29, 2018_12_13, 2018_3_1, 2018_6_7, 2018_8_16, 2018_9_13, 2019_10_17, 2019_11_28, 2019_1_16, 2019_1_31, 2019_3_7, 2019_6_27, 2019_7_11, 2019_9_19, 2020_3_5, 2020_7_22, 2020_7_30, 2020_8_13, 2020_8_6, 2020_9_3, 2021_1_21, 2021_3_23, 2021_5_27, 2021_7_1, 2021_7_22, 2021_9_16, 2022_11_24, 2022_12_1, 2022_2_10, 2022_2_3, 2022_3_17, 2022_6_23, 2022_7_28",0.22847682119205298
2,46,", 2014_10_22, 2015_10_8, 2015_1_8, 2015_4_15, 2015_5_21, 2015_9_3, 2016_10_13, 2016_10_5, 2016_12_7, 2016_2_11, 2016_2_4, 2016_3_17, 2016_4_14, 2016_5_12, 2016_5_5, 2016_6_23, 2016_9_8, 2017_11_30, 2017_1_26, 2017_6_1, 2017_8_16, 2018_11_15, 2018_1_11, 2018_7_26, 2018_9_6, 2019_1_24, 2019_8_15, 2019_8_29, 2020_10_15, 2020_10_22, 2020_12_10, 2020_12_3, 2020_7_15, 2021_4_15, 2021_5_12, 2021_5_6, 2021_6_24, 2022_10_13, 2022_10_27, 2022_11_23, 2022_2_3, 2022_3_10, 2022_5_12, 2022_6_30, 2022_8_25, 2022_9_15",0.152317880794702
3,27,", 2014_10_15, 2014_11_13, 2014_1_9, 2014_5_1, 2014_9_18, 2015_1_21, 2015_6_11, 2015_8_27, 2016_10_20, 2016_2_24, 2016_5_19, 2017_4_26, 2017_6_29, 2017_7_6, 2017_9_21, 2018_1_25, 2019_11_21, 2019_12_18, 2019_9_12, 2020_10_8, 2020_1_30, 2021_10_14, 2021_11_11, 2021_11_4, 2021_2_4, 2021_8_12, 2022_8_4",0.08940397350993377
4,21,", 2014_10_30, 2014_11_26, 2014_12_4, 2014_2_6, 2014_7_10, 2015_10_29, 2015_12_3, 2015_4_22, 2016_8_25, 2016_9_1, 2017_10_19, 2017_11_29, 2017_1_19, 2017_8_31, 2018_2_22, 2018_8_23, 2019_10_3, 2019_11_14, 2020_7_9, 2022_5_5, 2022_7_7",0.0695364238410596
5,16,", 2014_5_22, 2014_7_3, 2014_9_4, 2015_6_4, 2016_11_30, 2016_1_7, 2016_6_30, 2017_7_27, 2018_1_18, 2018_5_24, 2019_3_14, 2019_5_23, 2019_9_5, 2021_10_21, 2021_8_19, 2021_9_9",0.052980132450331126
6,17,", 2014_5_29, 2015_11_19, 2015_5_28, 2015_5_7, 2017_10_12, 2017_11_16, 2018_2_15, 2018_4_12, 2018_5_10, 2019_2_28, 2019_5_9, 2020_12_2, 2021_10_7, 2021_11_18, 2022_10_20, 2022_10_6, 2022_11_17",0.056291390728476824
7,12,", 2015_3_12, 2015_6_25, 2015_9_17, 2016_2_17, 2017_9_7, 2018_11_8, 2018_3_8, 2018_4_19, 2018_8_30, 2020_11_26, 2020_9_17, 2021_3_18",0.039735099337748346
8,11,", 2014_2_13, 2015_3_5, 2016_11_17, 2016_9_15, 2017_11_22, 2018_8_1, 2019_8_22, 2020_8_20, 2021_4_22, 2021_9_2, 2022_1_27",0.03642384105960265
9,10,", 2014_5_15, 2017_8_24, 2018_5_31, 2019_4_25, 2020_10_29, 2021_4_29, 2022_1_20, 2022_3_24, 2022_5_26, 2022_9_1",0.033112582781456956
10,8,", 2015_1_15, 2015_7_30, 2016_6_9, 2017_3_2, 2018_7_5, 2020_11_19, 2020_1_16, 2021_1_28",0.026490066225165563
